Project Code as Word,PQ # as Word,Country as Word,Managed By as Word,Fulfill Via as Word,Vendor INCO Term as Word,Shipment Mode as Word,PQ First Sent to Client Date as Word,PQ First Sent to Client Date Value,PO Sent to Vendor Date as Word,PO Sent to Vendor Date Value,Scheduled Delivery Date Value,Delivered to Client Date Value,Delivery Recorded Date Value,Product Group as Word,Sub Classification as Word,Vendor as Word,Item Description as Word,Molecule/Test Type as Word,Brand as Word,Dosage as Word,Dosage Form as Word,Unit of Measure (Per Pack) Value,Line Item Quantity Value,Line Item Value Value,Pack Price Value,Unit Price Value,Manufacturing Site as Word,First Line Designation as Word,Weight (Kilograms) as Word,Weight (Kilograms) Value,Freight Cost (USD) as Word,Freight Cost (USD) Value,Line Item Insurance (USD) Value,PO / SO # Type as Word,PO / SO # ID Value,ASN/DN # Type as Word,ASN/DN # ID Value,IsDefective
1,1,1,1,1,1,1,1,-1,1,-1,1149206400,1149206400,1149206400,1,1,1,1,1,1,-1,1,30,19,551.0,29.0,0.97,1,1,-1,13.0,-1,780.34,-1.0,1,4,1,8,0
2,1,2,1,1,1,1,1,-1,1,-1,1163462400,1163462400,1163462400,2,2,2,2,2,2,1,2,240,1000,6200.0,6.2,0.03,2,1,-1,358.0,-1,4521.5,-1.0,1,13,1,85,0
1,1,1,1,1,2,1,1,-1,1,-1,1156636800,1156636800,1156636800,1,1,3,3,3,3,-1,1,100,500,40000.0,80.0,0.8,3,1,-1,171.0,-1,1653.78,-1.0,1,20,1,14,0
2,1,2,1,1,1,1,1,-1,1,-1,1157068800,1157068800,1157068800,2,3,4,4,4,2,2,3,60,31920,127360.8,3.99,0.07,4,1,-1,1855.0,-1,16007.06,-1.0,1,78,1,50,0
2,1,2,1,1,1,1,1,-1,1,-1,1155254400,1155254400,1155254400,2,3,2,5,5,2,3,4,60,38000,121600.0,3.2,0.05,2,1,-1,7590.0,-1,45450.08,-1.0,1,81,1,55,0
3,1,3,1,1,1,1,1,-1,1,-1,1159401600,1159401600,1159401600,2,2,2,6,6,2,1,5,240,416,2225.6,5.35,0.02,2,1,-1,504.0,-1,5920.42,-1.0,1,87,1,57,0
4,1,4,1,1,3,1,1,-1,1,-1,1168214400,1168214400,1168214400,2,2,5,7,7,4,4,4,90,135,4374.0,32.4,0.36,5,1,-1,328.0,1,-1.0,-1.0,1,139,1,130,0
5,1,5,1,1,1,1,1,-1,1,-1,1164326400,1164326400,1164326400,2,3,2,8,2,2,4,3,60,16667,60834.55,3.65,0.06,2,1,-1,1478.0,-1,6212.41,-1.0,1,140,1,94,0
3,1,3,1,1,1,1,1,-1,1,-1,1165449600,1165449600,1165449600,2,3,2,5,5,2,3,4,60,273,532.35,1.95,0.03,2,2,-1,479.0,-1,4861.14,-1.0,1,156,1,93,0
4,1,4,1,1,4,1,1,-1,-1,1163376000,1170115200,1170115200,1170115200,2,3,6,9,8,5,5,3,120,2800,115080.0,41.1,0.34,6,1,-1,643.0,1,-1.0,-1.0,1,165,1,199,0
4,1,4,1,1,4,1,1,-1,-1,1164931200,1171584000,1171584000,1171584000,2,3,6,9,8,5,5,3,120,2800,115080.0,41.1,0.34,7,1,-1,643.0,1,-1.0,-1.0,1,221,1,223,0
4,1,4,1,1,1,1,1,-1,1,-1,1168214400,1168214400,1168214400,1,1,7,10,9,6,-1,1,20,2500,100000.0,40.0,2.0,8,1,-1,853.0,-1,13569.49,-1.0,1,226,1,137,0
6,1,3,1,1,1,1,1,-1,1,-1,1168387200,1168387200,1168387200,1,1,8,11,10,7,-1,1,100,10,850.0,85.0,0.85,9,1,1,-1.0,2,-1.0,-1.0,1,230,1,144,0
7,1,6,1,1,1,1,1,-1,-1,1166745600,1172534400,1172534400,1172534400,2,3,9,12,11,2,6,6,60,10000,99800.0,9.98,0.17,10,1,-1,7416.0,-1,64179.42,-1.0,1,268,1,242,0
8,1,7,1,1,1,1,1,-1,1,-1,1169078400,1169078400,1169078400,1,1,3,3,3,3,-1,1,100,750,60000.0,80.0,0.8,3,1,-1,256.0,-1,1760.32,-1.0,1,274,1,162,0
9,1,8,1,1,4,1,1,-1,-1,1168387200,1174262400,1174262400,1174262400,2,2,10,13,12,8,4,3,60,579,14764.5,25.5,0.42,11,1,1,-1.0,1,-1.0,-1.0,1,308,1,285,0
6,1,3,1,1,4,-1,1,-1,1,-1,1178496000,1178496000,1178496000,1,1,11,3,3,3,-1,1,100,1500,120000.0,80.0,0.8,3,1,1,-1.0,1,-1.0,192.0,1,354,1,608,0
7,1,6,1,1,1,1,1,-1,1,-1,1175126400,1175126400,1175126400,1,1,12,14,13,9,-1,1,30,2000,33000.0,16.5,0.55,12,1,-1,710.0,-1,3120.7,-1.0,1,488,1,299,0
5,1,5,1,1,4,1,1,-1,-1,1176336000,1181088000,1181088000,1181088000,2,2,10,15,12,8,7,7,200,712,8964.08,12.59,0.06,11,1,-1,162.0,-1,912.96,-1.0,1,555,1,409,0
6,1,3,1,1,1,1,1,-1,-1,1179014400,1182211200,1182211200,1182211200,1,1,3,3,3,3,-1,1,100,1000,80000.0,80.0,0.8,3,1,-1,341.0,-1,2682.47,128.0,1,592,1,485,0
6,1,3,1,1,1,1,1,-1,-1,1179360000,1182211200,1182211200,1182211200,1,1,13,16,14,10,-1,1,20,7500,202500.0,27.0,1.35,13,1,-1,2278.0,-1,15893.71,-1.0,1,570,1,451,0
10,1,1,1,1,4,1,1,-1,-1,1184284800,1191283200,1191283200,1191283200,2,2,10,13,12,8,4,3,60,5513,140581.5,25.5,0.42,11,1,-1,2126.0,1,-1.0,224.93,1,698,1,727,0
2,1,2,1,1,1,1,1,-1,-1,1183507200,1192406400,1192406400,1192406400,2,2,2,2,2,2,1,2,240,1000,1920.0,1.92,0.01,2,1,-1,941.0,-1,4193.49,3.07,1,753,1,781,0
2,1,2,1,1,2,1,1,-1,-1,1183507200,1188172800,1188172800,1188172800,2,3,6,9,8,5,5,3,120,500,41095.0,82.19,0.68,7,1,-1,117.0,-1,1767.38,65.75,1,759,1,632,0
11,1,7,1,1,1,1,1,-1,-1,1185408000,1186963200,1187654400,1187654400,1,1,14,17,15,3,-1,1,100,750,53992.5,71.99,0.72,14,1,-1,171.0,-1,3518.38,86.39,1,10080,1,628,0
11,1,7,1,1,1,1,1,-1,-1,1185408000,1188000000,1188000000,1188000000,1,1,15,18,16,11,-1,1,100,25,8750.0,350.0,3.5,15,1,-1,60.0,-1,3097.85,14.0,1,10130,1,616,0
5,1,5,1,1,1,1,1,-1,1,-1,1192492800,1192492800,1192492800,1,1,16,19,17,12,-1,1,25,10000,200000.0,20.0,0.8,16,1,-1,3335.0,-1,27869.74,320.0,1,10270,1,710,0
